timestamp,service_name,environment,log_level,request_id,trace_id,endpoint,status_code,latency_ms,error_type,message,cpu_usage,memory_usage,db_latency_ms,queue_lag,region,deployment_version
2026-07-06T23:00:27+00:00,api-gateway,prod-simulated,INFO,req-32e7068fadc1a6,trace-a65ed389b74d0fb1,/v1/recommendations,200,210.55,LATENCY_SPIKE,Service remained available but experienced elevated end-to-end latency.,72.11,60.68,27.21,2.7,us-east-1,2026.07.1
2026-07-06T23:01:20+00:00,api-gateway,prod-simulated,INFO,req-bb5e4b15ed6269,trace-d0e6e6607c69dee1,/v1/search,200,76.88,,Request completed within the expected service envelope.,52.54,58.09,17.94,4.14,us-west-2,2026.07.1
2026-07-06T23:01:42+00:00,auth-service,prod-simulated,INFO,req-89a26812c136e0,trace-8181a8cc369147eb,/auth/refresh,200,67.07,,Request completed within the expected service envelope.,45.17,50.45,19.38,0.0,eu-west-1,2026.07.1
2026-07-06T23:01:58+00:00,recommendation-service,prod-simulated,INFO,req-e645f1629c2ae3,trace-30a900ad939b462d,/recommendations/similar,200,255.37,LATENCY_SPIKE,Service remained available but experienced elevated end-to-end latency.,78.37,63.73,23.55,3.37,us-east-1,2026.07.1
2026-07-06T23:02:50+00:00,auth-service,prod-simulated,INFO,req-7c52fa680ac07a,trace-36b824817b3a4e3e,/auth/refresh,200,72.04,,Request completed within the expected service envelope.,49.8,43.34,18.22,0.13,us-east-1,2026.07.1
2026-07-06T23:03:14+00:00,auth-service,prod-simulated,INFO,req-72d856894a05e4,trace-6c006f6123e2fcb4,/auth/login,200,99.68,,Request completed within the expected service envelope.,42.41,44.29,17.45,0.45,us-west-2,2026.07.1
2026-07-06T23:03:14+00:00,api-gateway,prod-simulated,INFO,req-18d0751825bc54,trace-6e595ed3a8b317fa,/v1/login,200,117.64,,Request completed within the expected service envelope.,54.95,57.15,22.06,3.39,ap-south-1,2026.07.1
2026-07-06T23:03:54+00:00,api-gateway,prod-simulated,INFO,req-0837b8d261a7ab,trace-50c187fcce177b4e,/v1/recommendations,200,119.91,,Request completed within the expected service envelope.,58.27,59.26,26.67,3.21,us-west-2,2026.07.1
2026-07-06T23:04:31+00:00,api-gateway,prod-simulated,INFO,req-3f22fa23bed01d,trace-8fb5d27bbeb79919,/v1/login,200,210.93,LATENCY_SPIKE,Service remained available but experienced elevated end-to-end latency.,71.74,66.8,33.98,1.57,us-east-1,2026.07.1
2026-07-06T23:04:41+00:00,database-service,prod-simulated,INFO,req-13d5f2709b7d97,trace-49257af1b6aae05b,/query/orders,200,45.51,,Request completed within the expected service envelope.,48.86,60.17,13.86,1.1,ap-south-1,2026.07.1
